sku,produto,categoria,tamanho,cor,foto_origem,arquivo,public_url
PROD-00011,Blusa Dry Fit - Preto (G),Camiseta,G,Preto,Produtos_Images/PROD-00011.Foto.183852.jpg,PROD-00011.Foto.183852.jpg,/fitness-products/PROD-00011.Foto.183852.jpg
PROD-00012,Blusa Dry Fit - Branca (M),Camiseta,M,Branca,Produtos_Images/PROD-00012.Foto.183012.jpg,PROD-00012.Foto.183012.jpg,/fitness-products/PROD-00012.Foto.183012.jpg
PROD-00013,Meia Florzina,Meia,UNICO,,Produtos_Images/PROD-00013.Foto.015016.jpg,PROD-00013.Foto.015016.jpg,/fitness-products/PROD-00013.Foto.015016.jpg
PROD-00014,Meia Docinho,Meia,UNICO,,Produtos_Images/PROD-00014.Foto.015025.jpg,PROD-00014.Foto.015025.jpg,/fitness-products/PROD-00014.Foto.015025.jpg
PROD-00015,Meia Lindinha,Meia,UNICO,,Produtos_Images/PROD-00015.Foto.015032.jpg,PROD-00015.Foto.015032.jpg,/fitness-products/PROD-00015.Foto.015032.jpg
PROD-00016,Meias Listradas,Meia,UNICO,,Produtos_Images/PROD-00016.Foto.015220.jpg,PROD-00016.Foto.015220.jpg,/fitness-products/PROD-00016.Foto.015220.jpg
PROD-00017,Meias de Emoções,Meia,UNICO,,Produtos_Images/PROD-00017.Foto.014021.jpg,PROD-00017.Foto.014021.jpg,/fitness-products/PROD-00017.Foto.014021.jpg
PROD-00018,Blusa Canelada - Azul (M),Camiseta,M,Azul,Produtos_Images/PROD-00018.Foto.013852.jpg,PROD-00018.Foto.013852.jpg,/fitness-products/PROD-00018.Foto.013852.jpg
PROD-00019,Blusa Canelada - Verde (M),Camiseta,M,Verde,Produtos_Images/PROD-00019.Foto.013837.jpg,PROD-00019.Foto.013837.jpg,/fitness-products/PROD-00019.Foto.013837.jpg
PROD-00020,Blusa Canelada - Amarelo (M),Camiseta,M,Amarelo,Produtos_Images/PROD-00020.Foto.013953.jpg,PROD-00020.Foto.013953.jpg,/fitness-products/PROD-00020.Foto.013953.jpg
